layer,id,x,y,w,h,points
playable,main_play_area,70,80,1780,656,
walkable,walkable,70,80,1780,656,
collision,,425,303,509,96,
collision,,987,306,334,98,
collision,,1451,330,96,192,
collision,,1681,443,144,105,
collision,,580,100,1008,129,
collision,,1689,90,150,131,
collision,,1661,616,186,111,
collision,,1362,648,286,79,
collision,,960,640,356,89,
collision,,980,484,349,81,
collision,,437,476,487,100,
collision,,526,672,308,55,
collision,,96,598,48,133,
collision,,151,648,148,76,
collision,,181,493,173,109,
collision,,83,430,52,126,
collision,,151,316,159,100,
collision,,146,129,196,120,
collision,,375,109,85,98,
collision,,1829,242,26,253,
spawns,player,554,611,,,
spawns,sasu,1718,308,,,
spawns,bujang,552,293,,,
spawns,teamjang,1272,489,,,
